-- @description query01 for JDBC query with int by partitioning
SELECT t2, tm, sqrt(sml), c1 FROM pxf_jdbc_multiple_fragments_by_int ORDER BY t1;
  t2  |            tm            |       sqrt       | c1  
------+--------------------------+------------------+-----
 s_6  | Sat Jul 13 21:00:00 2013 | 3.16227766016838 | USD
 s_15 | Mon Jul 22 21:00:00 2013 | 31.6227766016838 | USD
 s_16 | Tue Jul 23 21:00:00 2013 |  33.166247903554 | UAH
      | Tue Jul 23 21:00:00 2013 |  33.166247903554 | EUR
 s_16 | Tue Jul 23 21:00:00 2013 |  33.166247903554 | USD
 s_16 | Tue Jul 23 21:00:00 2013 |  33.166247903554 | UAH
 s_17 | Wed Jul 24 21:00:00 2013 |  33.166247903554 | USD
 s_16 |                          |  33.166247903554 | USD
 s_16 | Tue Jul 23 21:00:00 2013 |  33.166247903554 | EUR
 s_16 | Tue Jul 23 21:00:00 2013 |  33.166247903554 | USD
 s_16 | Tue Jul 23 21:00:00 2013 |  33.166247903554 | USD
 s_7  | Sat Jul 13 21:00:00 2013 | 4.47213595499958 | USD
 s_16 | Tue Jul 23 21:00:00 2013 |  33.166247903554 | UAH
 s_16 | Tue Jul 23 21:00:00 2013 |                  | USD
 s_16 | Tue Jul 23 21:00:00 2013 |  33.166247903554 | EUR
 s_16 | Tue Jul 23 21:00:00 2013 |  33.166247903554 | EUR
 s_16 | Tue Jul 23 21:00:00 2013 |  33.166247903554 | 
 s_16 | Tue Jul 23 21:00:00 2013 |  33.166247903554 | USD
 s_8  | Mon Jul 15 21:00:00 2013 | 17.3205080756888 | USD
 s_9  | Tue Jul 16 21:00:00 2013 |               20 | USD
 s_10 | Wed Jul 17 21:00:00 2013 | 22.3606797749979 | USD
 s_11 | Thu Jul 18 21:00:00 2013 | 24.4948974278318 | USD
 s_12 | Fri Jul 19 21:00:00 2013 | 26.4575131106459 | USD
 s_13 | Sat Jul 20 21:00:00 2013 | 28.2842712474619 | EUR
 s_14 | Sun Jul 21 21:00:00 2013 |               30 | UAH
(25 rows)

